"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
7.603563305E1,6.012136666E1,2.445333069E1,2.048395303E1,1.289999962E0,8.740000153E1,9.935046196E0,2.500000000E0
7.703540758E1,6.012136788E1,2.445335475E1,2.041379454E1,1.320000052E0,8.600000000E1,9.935046196E0,2.500000000E0
7.803551872E1,6.012136943E1,2.445337960E1,2.048987703E1,1.389999986E0,8.350000000E1,9.935046196E0,2.500000000E0
7.903543174E1,6.012137112E1,2.445340248E1,2.016269737E1,1.230000019E0,8.359999847E1,9.935046196E0,2.500000000E0
8.003547523E1,6.012137334E1,2.445342550E1,2.022656958E1,1.340000033E0,8.100000000E1,9.935046196E0,2.500000000E0
8.103532398E1,6.012137565E1,2.445344850E1,2.026560035E1,1.269999981E0,7.950000000E1,9.935046196E0,2.500000000E0
8.203552742E1,6.012137782E1,2.445347223E1,2.048346529E1,1.279999971E0,7.909999847E1,9.935046196E0,2.500000000E0
8.303524830E1,6.012137973E1,2.445349549E1,2.030747000E1,1.240000010E0,7.909999847E1,9.935046196E0,2.500000000E0
8.403503460E1,6.012138262E1,2.445351933E1,2.047021957E1,1.340000033E0,7.690000153E1,9.935046196E0,2.500000000E0
8.503503341E1,6.012138760E1,2.445354278E1,2.017410406E1,1.389999986E0,6.850000000E1,9.935046196E0,2.500000000E0
8.603534794E1,6.012139463E1,2.445356453E1,2.042284482E1,1.399999976E0,6.079999924E1,9.935046196E0,2.500000000E0
8.703531695E1,6.012140296E1,2.445358453E1,2.026453832E1,1.340000033E0,5.509999847E1,9.935046196E0,2.500000000E0
8.803580684E1,6.012141142E1,2.445360147E1,2.017122988E1,1.299999952E0,5.459999847E1,9.935046196E0,2.500000000E0
8.903564236E1,6.012142004E1,2.445361923E1,2.025052983E1,1.340000033E0,5.479999924E1,9.935046196E0,2.500000000E0
9.003529028E1,6.012142773E1,2.445363768E1,2.017217792E1,1.340000033E0,5.670000076E1,9.935046196E0,2.500000000E0
9.103570872E1,6.012143514E1,2.445365678E1,2.007258698E1,1.330000043E0,5.790000153E1,9.935046196E0,2.500000000E0
9.203549361E1,6.012144217E1,2.445367731E1,2.017417030E1,1.399999976E0,5.890000153E1,9.935046196E0,2.500000000E0
9.303557434E1,6.012144885E1,2.445369774E1,2.016009223E1,1.259999990E0,6.029999924E1,9.935046196E0,2.500000000E0
9.403510278E1,6.012145488E1,2.445371766E1,2.032100196E1,1.309999943E0,5.850000000E1,9.935046196E0,2.500000000E0
9.503489153E1,6.012146007E1,2.445373754E1,2.013657561E1,1.230000019E0,6.220000076E1,9.935046196E0,2.500000000E0
9.603551293E1,6.012146511E1,2.445375815E1,2.017151079E1,1.330000043E0,6.240000153E1,9.935046196E0,2.500000000E0
9.703500903E1,6.012147056E1,2.445377979E1,2.020083172E1,1.360000014E0,6.390000153E1,9.935046196E0,2.500000000E0
9.803493903E1,6.012147644E1,2.445380164E1,2.016392933E1,1.379999995E0,6.109999847E1,9.935046196E0,2.500000000E0
9.903529434E1,6.012148271E1,2.445382384E1,2.011512515E1,1.340000033E0,6.029999924E1,9.935046196E0,2.500000000E0
1.000351765E2,6.012148955E1,2.445384518E1,2.038193196E1,1.340000033E0,5.779999924E1,9.935046196E0,2.500000000E0
1.010350496E2,6.012149665E1,2.445386587E1,2.019188944E1,1.289999962E0,5.729999924E1,9.935046196E0,2.500000000E0
1.020351941E2,6.012150424E1,2.445388624E1,2.020722926E1,1.320000052E0,5.690000153E1,9.935046196E0,2.500000000E0
1.030350957E2,6.012151177E1,2.445390589E1,2.018478739E1,1.299999952E0,5.900000000E1,9.935046196E0,2.500000000E0
1.040348602E2,6.012151834E1,2.445392674E1,2.007421344E1,1.340000033E0,6.059999847E1,9.935046196E0,2.500000000E0
1.050355834E2,6.012152467E1,2.445394875E1,2.017872924E1,1.320000052E0,6.100000000E1,9.935046196E0,2.500000000E0
1.060357639E2,6.012153057E1,2.445396989E1,2.022788542E1,1.269999981E0,6.179999924E1,9.935046196E0,2.500000000E0
1.070355536E2,6.012153608E1,2.445398919E1,2.041565031E1,1.250000000E0,6.070000076E1,9.935046196E0,2.500000000E0
1.080351097E2,6.012154242E1,2.445400841E1,2.059908071E1,1.309999943E0,5.920000076E1,9.935046196E0,2.500000000E0
1.090356882E2,6.012154872E1,2.445402916E1,2.041782820E1,1.360000014E0,6.059999847E1,9.935046196E0,2.500000000E0
1.100351557E2,6.012155494E1,2.445405053E1,2.036572703E1,1.340000033E0,6.090000153E1,9.935046196E0,2.500000000E0
1.110356244E2,6.012156091E1,2.445407148E1,2.076363775E1,1.279999971E0,6.159999847E1,9.935046196E0,2.500000000E0
1.120351769E2,6.012156696E1,2.445409155E1,2.092466973E1,1.269999981E0,6.000000000E1,9.935046196E0,2.500000000E0
1.130356331E2,6.012157267E1,2.445411276E1,2.112806204E1,1.269999981E0,6.070000076E1,9.935046196E0,2.500000000E0
1.140355633E2,6.012157838E1,2.445413208E1,2.141372714E1,1.259999990E0,6.159999847E1,9.935046196E0,2.500000000E0
1.150354776E2,6.012158404E1,2.445415109E1,2.153246071E1,1.289999962E0,6.270000076E1,9.935046196E0,2.500000000E0
1.160358555E2,6.012158957E1,2.445416934E1,2.173719190E1,1.179999948E0,6.070000076E1,9.935046196E0,2.500000000E0
1.170358222E2,6.012159548E1,2.445418747E1,2.201876578E1,1.240000010E0,5.900000000E1,9.935046196E0,2.500000000E0
1.180355030E2,6.012160213E1,2.445420786E1,2.243858662E1,1.360000014E0,5.870000076E1,9.935046196E0,2.500000000E0
1.190355600E2,6.012160889E1,2.445422892E1,2.239557867E1,1.309999943E0,5.879999924E1,9.935046196E0,2.500000000E0
1.200357662E2,6.012161497E1,2.445425100E1,2.254373498E1,1.340000033E0,6.100000000E1,9.935046196E0,2.500000000E0
1.210349239E2,6.012162094E1,2.445427296E1,2.241875891E1,1.299999952E0,6.109999847E1,9.935046196E0,2.500000000E0
1.220357440E2,6.012162727E1,2.445429445E1,2.251967292E1,1.360000014E0,6.209999847E1,9.935046196E0,2.500000000E0
1.230348804E2,6.012163369E1,2.445431678E1,2.263609092E1,1.360000014E0,6.220000076E1,9.935046196E0,2.500000000E0
1.240357047E2,6.012164013E1,2.445433989E1,2.277521506E1,1.399999976E0,6.220000076E1,9.935046196E0,2.500000000E0
1.250349759E2,6.012164591E1,2.445436345E1,2.292398409E1,1.360000014E0,6.379999924E1,9.935046196E0,2.500000000E0
1.260349092E2,6.012165082E1,2.445438549E1,2.293536181E1,1.299999952E0,6.490000153E1,9.935046196E0,2.500000000E0
1.270349223E2,6.012165515E1,2.445440750E1,2.313900086E1,1.320000052E0,6.709999847E1,9.935046196E0,2.500000000E0
1.280354740E2,6.012165878E1,2.445443107E1,2.304405883E1,1.320000052E0,6.780000305E1,9.935046196E0,2.500000000E0
1.290353204E2,6.012166258E1,2.445445610E1,2.300459960E1,1.379999995E0,6.830000305E1,9.935046196E0,2.500000000E0
1.300356037E2,6.012166640E1,2.445448058E1,2.317369671E1,1.389999986E0,6.809999847E1,9.935046196E0,2.500000000E0
1.310356914E2,6.012167060E1,2.445450361E1,2.328419766E1,1.370000005E0,6.869999695E1,9.935046196E0,2.500000000E0
1.320353077E2,6.012167471E1,2.445452500E1,2.315800210E1,1.370000005E0,7.059999847E1,9.935046196E0,2.500000000E0
1.330353993E2,6.012167820E1,2.445454556E1,2.315930850E1,1.320000052E0,7.230000305E1,9.935046196E0,2.500000000E0
1.340350504E2,6.012168132E1,2.445456689E1,2.343924186E1,1.299999952E0,7.290000153E1,9.935046196E0,2.500000000E0
1.350349308E2,6.012168436E1,2.445458981E1,2.356451441E1,1.379999995E0,7.330000305E1,9.935046196E0,2.500000000E0
1.360350452E2,6.012168741E1,2.445461246E1,2.352181783E1,1.399999976E0,7.269999695E1,9.935046196E0,2.500000000E0
1.370351655E2,6.012169042E1,2.445463566E1,2.339043797E1,1.399999976E0,7.469999695E1,9.935046196E0,2.500000000E0
