"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.032022261E0,8.498442769E-1,-2.214138508E-1,-4.716072083E-1
1.037018303E0,8.467006683E-1,-1.987307072E-1,-1.118755341E-1
1.042014344E0,8.080635071E-1,-1.656644344E-1,2.410802841E-1
1.047010386E0,7.386543751E-1,-1.372663975E-1,5.876216888E-1
1.052006428E0,6.528375745E-1,-1.095054150E-1,8.566322327E-1
1.057002469E0,5.652735233E-1,-1.022851467E-1,1.096494675E0
1.061998511E0,5.666933060E-1,-8.766531944E-2,1.259995461E0
1.066994553E0,6.138950586E-1,-9.007716179E-2,1.280985832E0
1.071990594E0,6.405173540E-1,-9.567141533E-2,1.246092796E0
1.076986636E0,6.995936632E-1,-1.857492924E-1,1.212829590E0
1.081982678E0,7.529693246E-1,-2.839143276E-1,1.104999542E0
1.086978719E0,8.342114091E-1,-3.948137760E-1,9.228658676E-1
1.091974761E0,9.290581942E-1,-5.181722641E-1,7.000007629E-1
1.096970803E0,9.756410718E-1,-6.106770039E-1,4.221067429E-1
1.101966844E0,1.021732688E0,-6.669692993E-1,7.479953766E-2
1.106962886E0,1.014213324E0,-7.052428722E-1,-2.181024551E-1
1.111958928E0,8.996852636E-1,-7.154264450E-1,-3.855628967E-1
1.116954969E0,7.151892781E-1,-6.825275421E-1,-4.808673859E-1
1.121951011E0,5.023191571E-1,-5.869481564E-1,-4.902858734E-1
1.126947053E0,2.505484223E-1,-4.048271179E-1,-4.619598389E-1
1.131943094E0,6.439065933E-2,-1.743390560E-1,-4.247961044E-1
1.136939136E0,-4.211565852E-2,5.192232132E-2,-3.550291061E-1
1.141935178E0,-1.261757314E-1,2.263116837E-1,-3.004951477E-1
1.146931219E0,-1.777690351E-1,3.489160538E-1,-2.610883713E-1
1.151927261E0,-2.061713934E-1,3.864526749E-1,-2.414655685E-1
1.156923303E0,-2.207801491E-1,3.582715988E-1,-2.367439270E-1
1.161919344E0,-2.549829483E-1,2.833957672E-1,-2.181053162E-1
1.166915386E0,-2.515515387E-1,2.191443443E-1,-2.427778244E-1
1.171911428E0,-2.157139182E-1,1.748695374E-1,-2.771291733E-1
1.176907417E0,-1.428388804E-1,1.265029907E-1,-3.353576660E-1
1.181903407E0,-7.567363977E-2,8.840346336E-2,-4.269313812E-1
1.186899396E0,2.906793356E-2,6.538391113E-2,-5.183877945E-1
1.191895386E0,6.679037213E-2,5.746626854E-2,-5.525665283E-1
1.196891375E0,1.414740086E-2,4.560995102E-2,-5.392932892E-1
1.201887365E0,-7.600787282E-2,3.918218613E-2,-4.262304306E-1
1.206883355E0,-1.897047162E-1,-4.749536514E-3,-2.852973938E-1
1.211879344E0,-2.843200564E-1,-1.491713524E-2,-1.879301071E-1
1.216875334E0,-2.698799968E-1,1.794719696E-2,-1.195621490E-1
1.221871323E0,-2.040348500E-1,6.000208855E-2,-5.133342743E-2
1.226867313E0,-8.668771386E-2,8.236026764E-2,-2.606868744E-2
1.231863303E0,2.498048544E-2,2.786993980E-2,-9.129047394E-2
1.236859292E0,9.823709726E-2,-4.575324059E-2,-2.038154602E-1
1.241855282E0,1.338008344E-1,-1.048185825E-1,-2.920465469E-1
1.246851271E0,1.129989326E-1,-1.301739216E-1,-2.750778198E-1
1.251847261E0,1.503438652E-1,-1.172852516E-1,-2.057418823E-1
1.256843250E0,2.023707032E-1,-1.281192303E-1,-1.892366409E-1
1.261839240E0,2.548765540E-1,-1.340136528E-1,-2.253389359E-1
1.266835230E0,2.414664924E-1,-1.205849648E-1,-3.186664581E-1
1.271831219E0,1.342141926E-1,-1.021187305E-1,-3.593568802E-1
1.276827209E0,3.832718730E-2,2.562046051E-3,-3.095006943E-1
1.281823198E0,1.233041286E-3,1.262612343E-1,-2.695665359E-1
1.286819188E0,-8.224487305E-2,1.782889366E-1,-3.158283234E-1
1.291815178E0,-1.787886918E-1,1.352708340E-1,-4.480247498E-1
1.296811167E0,-2.265972793E-1,7.431793213E-2,-5.896749496E-1
1.301807157E0,-2.073133737E-1,3.856253624E-2,-6.406126022E-1
1.306803146E0,-1.456803977E-1,-2.901172638E-2,-5.583629608E-1
1.311799136E0,-1.397061348E-2,-4.710507393E-2,-4.674625397E-1
1.316795125E0,1.588531137E-1,-1.596283913E-2,-3.965320587E-1
1.321791115E0,2.871760130E-1,6.790876389E-3,-3.263368607E-1
1.326787105E0,3.959039152E-1,3.535437584E-2,-2.520618439E-1
1.331783094E0,4.808145463E-1,4.075551033E-2,-1.497392654E-1
1.336779084E0,4.996239841E-1,4.168725014E-2,-4.313945770E-2
1.341775073E0,3.907302916E-1,3.764605522E-2,7.747650146E-2
1.346771063E0,2.161410749E-1,1.387763023E-2,2.074899673E-1
1.351767053E0,1.363742352E-2,-2.986621857E-2,3.947210312E-1
1.356763042E0,-1.510779262E-1,-6.535243988E-2,5.676136017E-1
1.361759032E0,-2.740649283E-1,-1.167981625E-1,7.168188095E-1
1.366755021E0,-2.793167830E-1,-3.648948669E-2,8.568286896E-1
1.371751011E0,-1.670704037E-1,1.125864983E-1,1.021247864E0
1.376747000E0,-8.510498703E-2,2.057414055E-1,1.171953201E0
1.381742990E0,-4.739160836E-2,2.237994671E-1,1.290015221E0
1.386738980E0,-6.277258694E-2,1.811985970E-1,1.304025650E0
1.391734969E0,-1.162334234E-1,1.403715611E-1,1.228581429E0
1.396730959E0,-1.500098258E-1,1.445839405E-1,1.097263336E0
1.401726948E0,-1.020796001E-1,1.462967396E-1,9.005966187E-1
1.406722938E0,-2.064134181E-2,1.653206348E-1,6.433095932E-1
1.411718928E0,3.671707213E-2,1.545984745E-1,3.491945267E-1
1.416714917E0,7.487189770E-2,9.601640701E-2,2.280616760E-2
1.421710907E0,1.278391182E-1,4.790639877E-2,-2.693185806E-1
1.426706896E0,2.056200057E-1,1.557350159E-2,-5.180091858E-1
1.431702938E0,2.271168977E-1,-1.005744934E-2,-6.950101852E-1
1.436698980E0,1.923823208E-1,-4.770517349E-3,-7.768707275E-1
1.441695021E0,1.206212193E-1,4.587936401E-2,-7.735586166E-1
1.446691063E0,5.885352194E-2,8.924794197E-2,-6.996679306E-1
1.451687105E0,-3.175465763E-2,1.012139320E-1,-5.887117386E-1
1.456683146E0,-1.180570573E-1,1.579022408E-1,-3.881826401E-1
1.461679188E0,-1.864258200E-1,1.868624687E-1,-1.410264969E-1
1.466675230E0,-2.185265571E-1,1.446728706E-1,6.694984436E-2
1.471671271E0,-2.429151088E-1,1.168096066E-1,2.027378082E-1
1.476667313E0,-2.348842621E-1,1.122891903E-1,2.906198502E-1
1.481663355E0,-1.891661733E-1,1.068842411E-1,3.165407181E-1
1.486659396E0,-1.246782094E-1,1.146707535E-1,2.998876572E-1
1.491655438E0,-6.046575308E-2,1.023385525E-1,2.693786621E-1
1.496651480E0,-1.088251173E-2,8.937621117E-2,1.724300385E-1
1.501647521E0,1.483595371E-2,9.511470795E-2,9.029388428E-2
1.506643563E0,2.174851298E-2,1.192686558E-1,2.264499664E-2
1.511639605E0,-1.349374652E-2,1.718015671E-1,1.724147797E-2
1.516635646E0,-7.188910246E-2,2.145872116E-1,1.067714691E-1
1.521631688E0,-1.156961173E-1,2.428188324E-1,2.240314484E-1
1.526627730E0,-1.356630474E-1,2.515869141E-1,3.261690140E-1
1.531623771E0,-1.365069449E-1,2.408180237E-1,4.038972855E-1
1.536619813E0,-9.909600019E-2,2.104375362E-1,4.290180206E-1
1.541615855E0,-3.783169389E-2,1.413738728E-1,4.210548401E-1
1.546611896E0,2.817921340E-2,9.088063240E-2,4.040441513E-1
1.551607938E0,9.871459007E-2,2.085900307E-2,3.827972412E-1
1.556603980E0,1.262796968E-1,-3.049778938E-2,3.193435669E-1
1.561600021E0,1.587458700E-1,-6.795430183E-2,2.329730988E-1
1.566596063E0,1.674564779E-1,-1.104779243E-1,1.333246231E-1
1.571592105E0,1.334239393E-1,-1.055040359E-1,3.464412689E-2
1.576588146E0,7.102960348E-2,-7.698035240E-2,-7.264423370E-2
1.581584188E0,-1.021289825E-2,-6.275010109E-2,-1.838493347E-1
1.586580230E0,-3.407421708E-2,-2.432298660E-2,-2.990951538E-1
1.591576271E0,-5.803325772E-2,-4.443883896E-3,-3.851852417E-1
1.596572313E0,-8.685643971E-2,3.522109985E-2,-4.281940460E-1
1.601568355E0,-1.060374528E-1,5.656719208E-2,-4.380044937E-1
1.606564396E0,-1.154368371E-1,6.919670105E-2,-4.196290970E-1
1.611560438E0,-1.100725979E-1,7.323026657E-2,-3.828287125E-1
1.616556480E0,-1.136196256E-1,5.924153328E-2,-3.230123520E-1
1.621552521E0,-1.403258741E-1,5.553603172E-2,-1.832532883E-1
1.626548563E0,-1.285641938E-1,4.754710197E-2,-3.534221649E-2
1.631544605E0,-9.798315167E-2,8.236622810E-2,1.160860062E-1
1.636540646E0,-5.816948414E-2,1.213130951E-1,2.283964157E-1
1.641536688E0,-3.287552297E-2,1.309218407E-1,2.877473831E-1
1.646532730E0,-1.744209230E-2,1.159467697E-1,2.946786880E-1
1.651528771E0,-2.604208887E-2,1.099259853E-1,2.733345032E-1
1.656524813E0,-4.450733960E-2,1.127381325E-1,3.094463348E-1
1.661520855E0,-4.906126857E-2,1.148128510E-1,3.455562592E-1
1.666516896E0,-5.400845408E-2,1.208586693E-1,4.149217606E-1
1.671512938E0,-3.552712500E-2,9.736466408E-2,4.556283951E-1
1.676508980E0,-1.732563972E-2,7.776618004E-2,4.536857605E-1
1.681505021E0,1.513062418E-2,2.409076691E-2,4.046764374E-1
1.686501063E0,5.226428807E-2,-2.040457726E-2,3.041496277E-1
1.691497105E0,7.983852923E-2,-7.459807396E-2,2.189350128E-1
1.696493146E0,1.076031029E-1,-8.598732948E-2,1.108388901E-1
1.701489188E0,9.272409976E-2,-9.742569923E-2,1.794624329E-2
1.706485230E0,4.974558949E-2,-9.898710251E-2,-7.428836823E-2
1.711481271E0,1.202619076E-2,-9.060907364E-2,-1.421842575E-1
1.716477313E0,1.746244729E-2,-6.748247147E-2,-1.860036850E-1
1.721473303E0,3.246630728E-2,-4.374074936E-2,-2.107925415E-1
1.726469292E0,3.314000368E-2,-1.953434944E-2,-2.356443405E-1
1.731465282E0,-1.371197402E-2,4.780292511E-4,-2.605953217E-1
1.736461271E0,-4.602140188E-2,-2.659797668E-3,-2.761487961E-1
1.741457261E0,-2.106878161E-2,-4.525184631E-4,-2.870578766E-1
1.746453250E0,-1.050263643E-2,-3.097891808E-2,-3.123369217E-1
1.751449240E0,-3.798486292E-2,-3.717303276E-2,-3.138027191E-1
1.756445230E0,-6.993094087E-2,-4.297924042E-2,-3.011493683E-1
1.761441219E0,-5.902893841E-2,-2.480030060E-2,-2.981758118E-1
1.766437209E0,-6.731875241E-2,-2.562022209E-2,-2.905349731E-1
1.771433198E0,-7.087825239E-2,-2.450466156E-3,-2.735586166E-1
1.776429188E0,-7.919622958E-2,2.551531792E-2,-2.710666656E-1
1.781425178E0,-1.209733635E-1,2.509546280E-2,-2.687292099E-1
1.786421167E0,-1.531745493E-1,3.926181793E-2,-2.617959976E-1
1.791417157E0,-1.569247842E-1,4.894852638E-2,-2.693195343E-1
1.796413146E0,-1.419973969E-1,4.009175301E-2,-2.864894867E-1
1.801409136E0,-7.513453066E-2,2.694487572E-2,-2.894258499E-1
1.806405125E0,-4.207953811E-2,9.446859360E-3,-2.877082825E-1
1.811401115E0,5.068793893E-3,-2.661299706E-2,-3.146171570E-1
1.816397105E0,3.327789903E-2,-5.268692970E-2,-3.461370468E-1
1.821393094E0,6.190091372E-2,-6.886124611E-2,-3.584909439E-1
1.826389084E0,7.670813799E-2,-8.937048912E-2,-3.898658752E-1
1.831385073E0,5.409976840E-2,-7.618975639E-2,-4.021158218E-1
1.836381063E0,6.094151735E-2,-6.260085106E-2,-4.144945145E-1
1.841377053E0,3.029094636E-2,-5.335664749E-2,-3.985013962E-1
1.846373042E0,2.896726131E-2,-3.882837296E-2,-3.876523972E-1
1.851369032E0,-1.459640265E-2,-9.610652924E-3,-3.391447067E-1
1.856365021E0,-3.768652678E-4,1.043200493E-2,-2.865285873E-1
1.861361011E0,3.303365409E-2,7.225036621E-3,-2.251243591E-1
1.866357000E0,7.117390633E-2,1.890206337E-2,-1.644811630E-1
1.871352990E0,1.282413453E-1,2.624917030E-2,-9.505081177E-2
